theater,votes_free,ratio_free,longitude,latitude,votes_jail
Theater Aachen,2384,0.6285262325336145,6.08214644202,50.7672852554,1409
Theater Baden-Baden,2086,0.6520787746170679,8.24374467317,48.7657698451,1113
"Deutsches Theater, Berlin",6208,0.5462384513858337,13.3901933841,52.5187456486,5157
Theater Bielefeld,8313,0.6586641312098883,8.53456904374,52.0245034482,4308
Staatstheater Braunschweig,1910,0.5383314543404735,10.5228356496,52.2660591229,1638
Schlosstheater Celle,2653,0.682531515307435,10.080726684,52.6171900307,1234
Staatsschauspiel Dresden,5188,0.5137142291315971,13.7210676149,51.0600336463,4911
Düsseldorfer Schauspielhaus,12610,0.5843915098711651,6.79140088346,51.2302634707,8968
Schauspiel Frankfurt,5970,0.5610902255639098,8.68388595192,50.1119739847,4670
"Deutsches Theater, Göttingen",2930,0.6498114881348415,9.93245468085,51.5350415221,1579
"Theater Vorpommern, Greifswald",1007,0.6983356449375867,13.3789308381,54.089398657,435
"Theater Vorpommern, Stralsund",360,0.6010016694490818,13.1147692454,54.2818868572,239
"Deutsches Schauspielhaus, Hamburg",2552,0.5910143584993053,10.0117770072,53.5608014977,1766
Staatstheater Nürnberg,1869,0.5536137440758294,11.0699072434,49.4403932171,1507
Oldenburgisches Staatstheater,5200,0.6266570257893468,8.20441079622,53.1394888932,3098
Schauspielbühnen in Stuttgart,7441,0.635602630904587,9.16467740417,48.7698345833,4266
Staatstheater Kassel,1384,0.6228622862286228,9.49079659015,51.3171621795,838
Mainzer Kammerspiele,1277,0.5934014869888475,8.27394747987,50.0004311011,875
Theater an der Effingerstraße,2424,0.7332123411978222,7.399628,46.940072,882
Metropoltheater München,4281,0.557421875,11.6166424501,48.2080563114,3399
Badisches Staatstheater Karlsruhe,299,0.4861788617886179,8.41715198136,49.0007141097,316
Theater@work,1582,0.6012922843025466,14.3,48.3,1049
Bremer Kriminaltheater,681,0.5324472243940579,8.82421052704,53.074946769,598
"Teatro Trasnocho, Caracas",3321,0.627906976744186,-66.8568812,10.4779376,1968
Contra-Kreis-Theater & Junges Theater Bonn,1925,0.6656293222683264,7.12295917699,50.7214942156,967
"Wolfgang Borchert Theater, Münster",186,0.496,7.66989253272,51.9536975681,189
Deutsch-Sorbisches Volkstheater Bautzen,105,0.5097087378640777,14.4365868353,51.185667039,101
Hyogo Performing Arts Center,287,0.41414141414141414,135.356,34.7436,406
"Nikkei Hall, Tokyo",282,0.3381294964028777,139.7622392,35.6887647,552
